Comment,Designator,Footprint,LCSC
100,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,C22775
330,RN1,R_Array_SIP8,C23138
Buzzer,BZ1,Buzzer_12x9.5RM6.5,C2858
10k,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
GP18,D3,LED_D5.0mm,
Lichtsensor,T2,LED_D5.0mm_Clear,
Conn_01x20_Socket,Pico_R1,PinSocket_1x20_P2.54mm_Vertical,
GP17,D2,LED_D5.0mm,
GP20,D5,LED_D5.0mm,
Conn_01x20_Socket,Pico_L1,PinSocket_1x20_P2.54mm_Vertical,
GP21,D6,LED_D5.0mm,
GP22,D7,LED_D5.0mm,
GP16,D1,LED_D5.0mm,
Taster,SW1,SW_PUSH_6mm,
GP19,D4,LED_D5.0mm,
Magnetsensor,IC1,TO-92_Inline_Horizontal2_lötsicher,
10k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
